label,count,start_time,end_time,duration_s,start_xyz,end_xyz,displacement_m
mono,284,1769761979.416399,1769762077.370651,97.954252,"0.0000000 0.0000000 0.0000000","-0.0059950 -0.0002678 -0.0045297",0.007519
mono_imu,498,1771911922.581811,1771912031.416606,108.834795,"0.0838038 -31.4697685 11.5907116","0.2459072 -31.5157089 11.6022511",0.168800
